DOCID,TOPICID,DOC TITLE,TOPIC NAME,,,,ID,TOPIC
50,7,"Act 173 Advisory Group Agenda - September 16, 2019",Elementary,,,,,
214,9,District forums on realigning Vermont School Choice policies with U.S. and VT Constitution,Census Based,,,,,
115,14,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Funding,,,,,
109,2,"Act 173 Advisory Group Draft Special Minutes from January 6, 2020",Census Based,,,,,
23,6,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs,Advisory,,,,,
16,5,"Public Assets Institute BLOG:  Student weighting is more complicated than it seems (Jack Hoffman on June 10, 2021)",Research,,,,,
110,6,"Act 173 Advisory Group February 1, 2021 Act 173 Weighting Study Presentation by Tammy Kolbe",Advisory,,,,,
103,9,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Census Based,,,,,
240,7,LLMC Digital,Elementary,,,,,
8,14,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,Funding,,,,,
306,4,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",K-12,,,,,
11,9,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Census Based,,,,,
177,12,"BFP:  Vermont schools study new standards  (Sep 14, 2010 )",Funding,,,,,
339,5,,Research,,,,,
108,13,"Act 173 Advisory Group Draft Special Minutes from February 3, 2020",Regulation,,,,,
69,12,"Act 173 Advisory Group December Meeting.  December 6, 2021",Funding,,,,,
266,13,Special Education Funding Formula Projections,Regulation,,,,,
184,10,"Census-Based Funding Advisory Group Act 173 AC VTmtss - PowerPoint March 4, 2019 (Act 173 Advisory Group)",Census Based,,,,,
219,1,"Education Finance Studies: VERMONT LEGISLATIVE JOINT FISCAL OFFICE (Task Force on the Implementation of the Pupil Weighting Factors Report) DECEMBER 17, 2021",Funding,,,,,
13,6,"Public Assets Institute BLOG:  Cutting school funding now is a bad idea ( Stephanie Yu on May 20, 2020)",Advisory,,,,,
15,3,"Public Assets Institute BLOG:  School taxes can be simpler and fairer (Jack Hoffman on April 1, 2021)",Legistlative,,,,,
123,11,"Act 173 Advisory Group Meeting: March 13, 2023.  Act 173 Advisory Group Agenda: March 13, 2023",Public Input,,,,,
210,8,"Coalition for Vermont Student Equity (Feb 12, 2022)",High School,,,,,
24,14,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,Funding,,,,,
4,14,Preliminary Education Fund Outlook (September 2012),Funding,,,,,
198,2,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",Census Based,,,,,
184,1,"Census-Based Funding Advisory Group Act 173 AC VTmtss - PowerPoint March 4, 2019 (Act 173 Advisory Group)",Funding,,,,,
153,3,"Act 173 Advisory Group. AOE Act 173 Update. October 4, 2021",Legistlative,,,,,
61,13,"Act 173 Advisory Group Approved Minutes October 4, 2021",Regulation,,,,,
19,14,Public Assets Institute:  School finance in Vermont: Balancing equal education and fair tax burdens,Funding,,,,,
187,2,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)",Census Based,,,,,
23,1,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs,Funding,,,,,
78,4,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",K-12,,,,,
279,9,"State Board of Education Articles of Agreement: Barre UUSD November 30, 2018 (Act 46)",Census Based,,,,,
18,9,Public Assets Institute BLOG:  Vermont’s tools for education funding equity: Weighting and categorical aid (11/11/2011),Census Based,,,,,
269,4,"State Board of Education  Articles of Agreement: Orleans Central UESDNovember 30, 2018 (Act 46)",K-12,,,,,
341,7,Center On Disability And Community Inclusion,Elementary,,,,,
347,10,Vermont education agency says districts cannot withhold public tuition money to religious schools (FOX news),Census Based,,,,,
90,5,"Act 173 Advisory Group Draft Minutes from August 3, 2020",Research,,,,,
112,13,"Act 173 Advisory Group Meeting - January 3, 2022",Regulation,,,,,
40,7,"Act 173 Advisory Group Agenda - January 6, 2020",Elementary,,,,,
330,8,"State Board of Education.  State Board of Education Member List November 9, 2022",High School,,,,,
214,7,District forums on realigning Vermont School Choice policies with U.S. and VT Constitution,Elementary,,,,,
86,5,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Research,,,,,
342,14,Vermont Annual State Application Under Part B of the Individuals with Disabilities Education Act as Amended in 2004 for Federal Fiscal Year 2019,Funding,,,,,
199,4,"Census-Based Funding Advisory Group IDEA Fiscal - Part II PowerPoint February 4, 2019 (Act 173 Advisory Group)",K-12,,,,,
208,11,Cite as: 16 V.S.A. § 1,Public Input,,,,,
33,10,"Act 173 Advisory Group Agenda - April 5, 2021",Census Based,,,,,
205,2,"Census-Based Funding Advisory Group Special Education Allowable Costs DRAFT February 4, 2019 (Act 173 Advisory Group)",Census Based,,,,,
244,7,Making schools equal: Vermont shows it ain't easy.,Elementary,,,,,
185,13,"Census-Based Funding Advisory Group Agency of Education Update to the Census Based Funding Advisory Group from January 7, 2019 (Act 173 Advisory Group)",Regulation,,,,,
126,6,"Act 173 Advisory Group Meeting: May 1, 2023.  Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Advisory,,,,,
337,12,The Putney School,Funding,,,,,
127,6,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Advisory,,,,,
265,10,"Special Education Expenditure Report for FY-2022 September 13,2021",Census Based,,,,,
11,12,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Funding,,,,,
111,4,"Act 173 Advisory Group February 1, 2021 Draft Rule 2200 as Approved by the Act 173 Advisory Group",K-12,,,,,
131,12,"Act 173 Advisory Group Meeting: September 12, 2022.  Act 173 Advisory Group Workplan",Funding,,,,,
231,4,History of Barre Education,K-12,,,,,
269,9,"State Board of Education  Articles of Agreement: Orleans Central UESDNovember 30, 2018 (Act 46)",Census Based,,,,,
126,2,"Act 173 Advisory Group Meeting: May 1, 2023.  Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Census Based,,,,,
278,2,"State Board of Education Appendix G: Common Data Points for Each District Submitting a Section 9 Proposal  June 1, 2018",Census Based,,,,,
34,10,"Act 173 Advisory Group Agenda - August 3, 2020",Census Based,,,,,
361,2,Rules for Special Education Finance and Census-Based Funding,Census Based,,,,,
41,11,"Act 173 Advisory Group Agenda - July 13, 2020",Public Input,,,,,
117,9,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Census Based,,,,,
188,9,"Census-Based Funding Advisory Group Approved Minutes from January 7, 2019 (Act 173 Advisory Group)",Census Based,,,,,
51,14,"Act 173 Advisory Group Agenda: January 9, 2023",Funding,,,,,
85,11,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",Public Input,,,,,
350,3,Vermont House fails to solve constitutional religious school conflict (Podcast),Legistlative,,,,,
1,5,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,Research,,,,,
296,3,"State Board of Education Memo Memorandum - State Board of Education Determining Eligibility for Small Schools Grants June 29, 2018",Legistlative,,,,,
200,1,"Census-Based Funding Advisory Group Professional Learning Sequence Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)",Funding,,,,,
200,12,"Census-Based Funding Advisory Group Professional Learning Sequence Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)",Funding,,,,,
151,3,"Act 173 Advisory Group. Agenda. October 4, 2021",Legistlative,,,,,
249,4,Member of Census-Based Funding Advisory Group:: The Executive Director of the Vermont Principals’ Association or designee;,K-12,,,,,
42,1,"Act 173 Advisory Group Agenda - July 24, 2019",Funding,,,,,
305,14,"State Board of Education Memo State Board of Education Statement on Reform of the Special Education System February 21, 2018",Funding,,,,,
78,12,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Funding,,,,,
361,5,Rules for Special Education Finance and Census-Based Funding,Research,,,,,
190,1,"Census-Based Funding Advisory Group Approved Minutes from September 9, 2018 (Act 173 Advisory Group)",Funding,,,,,
15,11,"Public Assets Institute BLOG:  School taxes can be simpler and fairer (Jack Hoffman on April 1, 2021)",Public Input,,,,,
59,5,"Act 173 Advisory Group Approved Minutes July 24, 2019",Research,,,,,
251,4,One member selected by the Vermont Association of School Business Officials;,K-12,,,,,
301,1,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022",Funding,,,,,
80,3,"Act 173 Advisory Group Draft Meeting Minutes: January 3, 2022",Legistlative,,,,,
262,12,Supreme Court ruling could impact school choice in Vermont,Funding,,,,,
8,4,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,K-12,,,,,
66,14,"Act 173 Advisory Group Census-Based Funding Advisory Group Draft Report-Outline of Report to the Legislature January 6, 2020",Funding,,,,,
255,4,Reference request for UVM Report (2-3-2016),K-12,,,,,
69,11,"Act 173 Advisory Group December Meeting.  December 6, 2021",Public Input,,,,,
329,5,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",Research,,,,,
175,9,"Baptist News Network:  Federal appeals court rules Vermont cannot exclude religious education from private school tuition program  (BNG STAFF  |  JUNE 10, 2021)",Census Based,,,,,
274,8,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",High School,,,,,
340,3,US Senate Committee: HELP,Legistlative,,,,,
355,11,Vermont's tradition of education and the Vermont constitution (Gale Academic Onfile).  Author: Seth M. Zoracki  Date: Spring 2006,Public Input,,,,,
2,5,Preliminary Education Fund Outlook,Research,,,,,
345,8,Three lawsuits that will change Vermont education,High School,,,,,
147,8,"Act 173 Advisory Group Work Plan: Updated February 6, 2023",High School,,,,,
277,11,"State Board of Education Appendix F: Snapshots of Each Section 9 Proposal and Sec. 10 Conversation  June 1, 2018",Public Input,,,,,
333,10,SWIFT proposals/experiment (2-1-2016),Census Based,,,,,
99,10,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Census Based,,,,,
159,6," Act 173 Section B Forms FY 2023 September 3,2020",Advisory,,,,,
196,8,"Census-Based Funding Advisory Group Draft Minutes from March 4, 2019 (Act 173 Advisory Group)",High School,,,,,
38,10,"Act 173 Advisory Group Agenda - February 7, 2022",Census Based,,,,,
90,5,"Act 173 Advisory Group Draft Minutes from August 3, 2020",Research,,,,,
260,2,"Report to the House and Senate Committees on Education, the House Committee on Ways and Means, and the Senate Committee on Finance",Census Based,,,,,
57,9,"Act 173 Advisory Group Approved Meeting Minutes - May 4th, 2020",Census Based,,,,,
161,9,The Rise And Fall Of Vermont's One-Room Schoolhouses (podcast),Census Based,,,,,
162,7,One member selected by the Vermont Legal Aid Disability Law Project;,Elementary,,,,,
298,4,"State Board of Education Memo State Board of Education Memo to the House and Senate Education Committees on Civics and Ethnic Studies March 21, 2018",K-12,,,,,
197,5,"Census-Based Funding Advisory Group Draft Minutes from May 6, 2019 (Act 173 Advisory Group)",Research,,,,,
25,3,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,Legistlative,,,,,
90,5,"Act 173 Advisory Group Draft Minutes from August 3, 2020",Research,,,,,
136,13,Act 173 Advisory Group Rule Series 2229 Enrollment Provisions.  03-03-22,Regulation,,,,,
259,7,"Report of the Census-Based Funding Advisory Group - January 8, 2021",Elementary,,,,,
235,10,IDEA 101 Subgrantee Programmatic Consideration June 2020 (YouTube),Census Based,,,,,
33,11,"Act 173 Advisory Group Agenda - April 5, 2021",Public Input,,,,,
134,9,Act 173 Advisory Group Rule 2229 Proposed Changes from Education Partners,Census Based,,,,,
267,11,Bill proposes mandatory civics education in Vermont schools,Public Input,,,,,
307,9,"State Board of Education Memo. State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District August 11, 2022",Census Based,,,,,
121,13,"Act 173 Advisory Group Meeting: Agenda October 3, 2022",Regulation,,,,,
165,5,"Act 173 Rulemaking (Oct 12,2018)",Research,,,,,
250,10,Member of the Census-Based Funding Advisory Group:  The Executive Director of the Vermont Superintendents Association or designee;,Census Based,,,,,
211,14,Consensus Based Funding Models:  Baker and Ramsey (2010),Funding,,,,,
168,3,Agency of Education:  Act 173 Advisory Group,Legistlative,,,,,
181,6,"CBFAG - Rulemaking Sub-Committee October 12,2018 (Act 173 Advisory Group)",Advisory,,,,,
148,1,"Act 173 Advisory Group-Draft Meeting Minutes February 7, 2022",Funding,,,,,
192,8,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",High School,,,,,
226,1,Federal Government/Dept of Education:  Office of Special Education Programs (OSEP),Funding,,,,,
41,4,"Act 173 Advisory Group Agenda - July 13, 2020",K-12,,,,,
311,2,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Census Based,,,,,
231,10,History of Barre Education,Census Based,,,,,
117,6,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Advisory,,,,,
105,14,"Act 173 Advisory Group Draft Report to the General Assembly Meeting: January 9, 2023",Funding,,,,,
348,14,"Vermont Estimated IDEA Award Amount for Federal Fiscal Year 2019 (March 14, 2019)",Funding,,,,,
15,1,"Public Assets Institute BLOG:  School taxes can be simpler and fairer (Jack Hoffman on April 1, 2021)",Funding,,,,,
292,11,State Board of Education Meetings for 2022 - 2023,Public Input,,,,,
170,6,AnLar...Supports VT Special Education Advisory Council (https://anlar.com/portfolio/vermont-special-education-advisory-council/),Advisory,,,,,
27,1,"Act 173 Advisory Group  VLA-DLP Letter to Roy and French - Adoption of MTSS Rule January 6, 2020",Funding,,,,,
321,6,"State Board of Education News Vermont State Board of Education Announces Search for Secretary of Education April 16, 2018",Advisory,,,,,
247,6,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Advisory,,,,,
188,9,"Census-Based Funding Advisory Group Approved Minutes from January 7, 2019 (Act 173 Advisory Group)",Census Based,,,,,
243,2,MaIntenance of Public Schools,Census Based,,,,,
26,7,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Elementary,,,,,
137,14,"Act 173 Advisory Group Rules Series 2200 Stakeholder Draft for Act 173 November 2, 2020 Meeting",Funding,,,,,
91,4,"Act 173 Advisory Group Draft Minutes from December 7, 2020",K-12,,,,,
133,8,"Act 173 Advisory Group Revised Version 3 - Rule 1300 - Agency of Education's Proposed State Rules for Special Education Finance and Census Based Funding November 4, 2019",High School,,,,,
267,11,Bill proposes mandatory civics education in Vermont schools,Public Input,,,,,
170,2,AnLar...Supports VT Special Education Advisory Council (https://anlar.com/portfolio/vermont-special-education-advisory-council/),Census Based,,,,,
353,13,"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017",Regulation,,,,,
63,4,"Act 173 Advisory Group Approved Minutes September 16, 2019",K-12,,,,,
277,13,"State Board of Education Appendix F: Snapshots of Each Section 9 Proposal and Sec. 10 Conversation  June 1, 2018",Regulation,,,,,
33,12,"Act 173 Advisory Group Agenda - April 5, 2021",Funding,,,,,
193,9,"Census-Based Funding Advisory Group Draft Minutes from December 3, 2018 (Act 173 Advisory Group)",Census Based,,,,,
272,6,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018",Advisory,,,,,
39,10,"Act 173 Advisory Group Agenda - January 4, 2021",Census Based,,,,,
202,5,"Census-Based Funding Advisory Group Report to House and Senate Committees on Education and the State Board of Education August 4, 2022",Research,,,,,
13,13,"Public Assets Institute BLOG:  Cutting school funding now is a bad idea ( Stephanie Yu on May 20, 2020)",Regulation,,,,,
158,9,"Census-Based Funding Advisory Group Agenda from January 7, 2019 (Act 173 Advisory Group)",Census Based,,,,,
1,3,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,Legistlative,,,,,
263,5,Just Saying No: Vermont Education Secretary Defies Lawmakers,Research,,,,,
70,1,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Funding,,,,,
40,10,"Act 173 Advisory Group Agenda - January 6, 2020",Census Based,,,,,
209,5,City of Winooski:  Supporting Adjusted Student Weights in Vermont’s Education Funding,Research,,,,,
310,2,"State Board of Education Memo. Public Comment: Rabbi Small July 12, 2022",Census Based,,,,,
267,6,Bill proposes mandatory civics education in Vermont schools,Advisory,,,,,
78,2,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Census Based,,,,,
110,8,"Act 173 Advisory Group February 1, 2021 Act 173 Weighting Study Presentation by Tammy Kolbe",High School,,,,,
183,6,"Census-Based Funding Advisory Group - April 1, 2019 (Act 173 Advisory Group)",Advisory,,,,,
351,3,Vermont Secretary of State: Preserved documents,Legistlative,,,,,
299,10,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Census Based,,,,,
42,12,"Act 173 Advisory Group Agenda - July 24, 2019",Funding,,,,,
159,5," Act 173 Section B Forms FY 2023 September 3,2020",Research,,,,,
299,5,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Research,,,,,
116,13,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Regulation,,,,,
236,6,"Instructions for FY-22 Special Education Expenditure Report September 13,2021",Advisory,,,,,
266,8,Special Education Funding Formula Projections,High School,,,,,
75,1,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Funding,,,,,
8,11,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,Public Input,,,,,
141,14,"Act 173 Advisory Group Success by Six Presentation November 2, 2020 Meeting",Funding,,,,,
329,10,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",Census Based,,,,,
198,10,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",Census Based,,,,,
54,12,"Act 173 Advisory Group Approved Meeting Minutes - February 3rd, 2020",Funding,,,,,
291,10,"State Board of Education List of Topics Provided to Superintendents to Prepare for Section 10 Conversations May 31, 2018",Census Based,,,,,
179,9,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Census Based,,,,,
242,4,"Mainstream Block Grant and Match Spent on Support and Remedial Services Sept 6,2018",K-12,,,,,
216,10,Educating Mary Barrosse.  Author: Amity Shlaes  Date: April-May 1999  From: Policy Review,Census Based,,,,,
286,7,"State Board of Education Decision Points: Sec. 9 Proposals and Secretary's Proposed Statewide Plan September 19, 2018",Elementary,,,,,
157,8,"Census-Based Funding Advisory Group Agenda from February 4, 2019 (Act 173 Advisory Group)",High School,,,,,
46,7,"Act 173 Advisory Group Agenda - November 2, 2020",Elementary,,,,,
107,11,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",Public Input,,,,,
320,1,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Funding,,,,,
175,5,"Baptist News Network:  Federal appeals court rules Vermont cannot exclude religious education from private school tuition program  (BNG STAFF  |  JUNE 10, 2021)",Research,,,,,
5,2,Education Finance Adequacy,Census Based,,,,,
150,12,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Funding,,,,,
212,13,Considerations for Establishing Categorical Aid Programs to Adjust for Cost Differentials Among Districts & Schools,Regulation,,,,,
81,4,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",K-12,,,,,
82,11,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",Public Input,,,,,
88,6,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Advisory,,,,,
107,4,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",K-12,,,,,
113,6,"Act 173 Advisory Group Meeting Agenda - March 7, 2022",Advisory,,,,,
299,3,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Legistlative,,,,,
116,4,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",K-12,,,,,
337,12,The Putney School,Funding,,,,,