DOCID,TOPICID,DOC TITLE,TOPIC NAME
26,7,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Elementary
38,12,"Act 173 Advisory Group Agenda - February 7, 2022",Funding
140,14,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",Funding
351,11,Vermont Secretary of State: Preserved documents,Public Input
293,3,State Board of Education Meetings for 2023 - 2024,Legistlative
66,11,"Act 173 Advisory Group Census-Based Funding Advisory Group Draft Report-Outline of Report to the Legislature January 6, 2020",Public Input
103,2,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Census Based
311,3,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Legistlative
233,10,History of IDEA,Census Based
225,2,"Federal Education Group - Draft Report on IDEA, Part B Spending and Related Fiscal Rules and their Potential Implications for the State of Vermont’s Act 173 Implementation July 24, 2019",Census Based
194,1,"Census-Based Funding Advisory Group Draft Minutes from February 4, 2019 (Act 173 Advisory Group)",Funding
166,4,"Act 173 Section D Forms FY 2022 September 3,2020",K-12
311,11,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Public Input
146,2,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Census Based
6,14,VCSEA,Funding
240,13,LLMC Digital,Regulation
21,1,The Evidence-Based (EB) model,Funding
349,3,,Legistlative
156,7,"Census-Based Funding Advisory Group Agenda - May 6, 2019 (Act 173 Advisory Group)",Elementary
207,8,CHITTENDEN TOWN SCHOOL DISTRICT v. DEPARTMENT OF EDUCATION (1999),High School
326,6,"State Board of Education Technical Center Regions and Supervisory Unions Map May 31, 2018",Advisory
186,7,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Elementary
331,6,STATE OF VERMONT OFFICE OF LEGISLATIVE COUNCIL,Advisory
296,7,"State Board of Education Memo Memorandum - State Board of Education Determining Eligibility for Small Schools Grants June 29, 2018",Elementary
71,4,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",K-12
55,8,"Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020",High School
23,7,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs,Elementary
356,11,"VT Department of Taxes (The Education Fund and Education Finance Oct. 27, 2020)",Public Input
290,5,"State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021",Research
52,12,"Act 173 Advisory Group AHS Updates for Act 173 Advisory Workgroup November 4, 2019",Funding
82,12,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",Funding
189,13,"Census-Based Funding Advisory Group Approved Minutes from March 4, 2019 (Act 173 Advisory Group)",Regulation
173,2,Article:  The Citizen (Phil Scott),Census Based
257,3,"Report of the Census-Based Funding Advisory Group - January 15, 2019",Legistlative
127,9,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Census Based
61,5,"Act 173 Advisory Group Approved Minutes October 4, 2021",Research
71,1,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Funding
302,11,"State Board of Education Memo SBE Memo to Legislative Committee on Administrative Rules (LCAR) - Response to Public Comment - March 15, 2022",Public Input
193,12,"Census-Based Funding Advisory Group Draft Minutes from December 3, 2018 (Act 173 Advisory Group)",Funding
10,1,"Public Assets Institute BLOG:  A big opportunity to improve school funding (Jack Hoffman on February 24, 2022)",Funding
55,7,"Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020",Elementary
30,5,Act 173 Advisory Group Act 173 Professional Development Recovery Presentation,Research
338,11,"The Vermont Historical Gazetteer: A Magazine, Embracing a History ..., Volume 3",Public Input
166,14,"Act 173 Section D Forms FY 2022 September 3,2020",Funding
62,14,"Act 173 Advisory Group Approved Minutes October 7, 2019",Funding
83,2,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",Census Based
258,6,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020",Advisory
272,9,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018",Census Based
350,10,Vermont House fails to solve constitutional religious school conflict (Podcast),Census Based
186,13,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Regulation
49,2,"Act 173 Advisory Group Agenda - October 7, 2019",Census Based
24,4,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,K-12
107,14,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",Funding
230,11,Generic Bibliography:  Vermont,Public Input
24,9,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,Census Based
193,5,"Census-Based Funding Advisory Group Draft Minutes from December 3, 2018 (Act 173 Advisory Group)",Research
266,3,Special Education Funding Formula Projections,Legistlative
114,8,"Act 173 Advisory Group Meeting Agenda-June 6, 2022",High School
247,3,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Legistlative
167,10,"Act 173 Technical Assicatance and Professional Learning Presentation April 1, 2019 (Act 173 Advisory Group)",Census Based
237,4,Justia Law (Brigham vs State of Vermont),K-12
3,4,Preliminary Education Fund Outlook (September 2010),K-12
113,12,"Act 173 Advisory Group Meeting Agenda - March 7, 2022",Funding
211,4,Consensus Based Funding Models:  Baker and Ramsey (2010),K-12
192,3,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",Legistlative
235,8,IDEA 101 Subgrantee Programmatic Consideration June 2020 (YouTube),High School
353,10,"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017",Census Based
319,5,"State Board of Education News State Board of Education Member List July 26, 2022",Research
264,4,South Burlington:  School Board,K-12
241,3,Local Education Agency Plan FY24: Assurances for IDEA Part B (Fillable Form),Legistlative
146,11,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Public Input
18,2,Public Assets Institute BLOG:  Vermont’s tools for education funding equity: Weighting and categorical aid (11/11/2011),Census Based
199,7,"Census-Based Funding Advisory Group IDEA Fiscal - Part II PowerPoint February 4, 2019 (Act 173 Advisory Group)",Elementary
105,4,"Act 173 Advisory Group Draft Report to the General Assembly Meeting: January 9, 2023",K-12
355,7,Vermont's tradition of education and the Vermont constitution (Gale Academic Onfile).  Author: Seth M. Zoracki  Date: Spring 2006,Elementary
337,12,The Putney School,Funding
103,1,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Funding
83,12,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",Funding
123,14,"Act 173 Advisory Group Meeting: March 13, 2023.  Act 173 Advisory Group Agenda: March 13, 2023",Funding
73,13,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,Regulation
312,1,"State Board of Education Merger Activity Map. January 10, 2018",Funding
347,2,Vermont education agency says districts cannot withhold public tuition money to religious schools (FOX news),Census Based
28,4,"Act 173 Advisory Group Act 173 - Disability Law Project Proposed Revisions #1 to Rule 1300 October 7, 2019",K-12
179,2,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Census Based
223,3,Court Backs Religious-School Student’s Participation in Vermont Dual-Enrollment Program,Legistlative
221,2,,Census Based
150,10,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Census Based
246,4,Member of Census-Based Funding Advisory Group:  The Executive Director of the Vermont School Boards Association or designee,K-12
210,1,"Coalition for Vermont Student Equity (Feb 12, 2022)",Funding
71,13,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Regulation
143,14,"Act 173 Advisory Group UVM Presentation - Findings from Study of Pupil Weights in Vermont's Education Funding Formula  January 6, 2020",Funding
154,9,"Act 173 Advisory Group. Local Comprehensive Assessment Systems - Act 173 Technical Guidance February 3, 2020",Census Based
295,12,"State Board of Education Memo  Determining Small School Grants Eligibilty  June 29, 2018",Funding
20,1,,Funding
226,6,Federal Government/Dept of Education:  Office of Special Education Programs (OSEP),Advisory
115,2,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Census Based
59,7,"Act 173 Advisory Group Approved Minutes July 24, 2019",Elementary
331,1,STATE OF VERMONT OFFICE OF LEGISLATIVE COUNCIL,Funding
178,3,Biennial Report - Vermont State Board of Education,Legistlative
269,10,"State Board of Education  Articles of Agreement: Orleans Central UESDNovember 30, 2018 (Act 46)",Census Based
328,2,"State Board of Education Transition Timeline FAQs January 15, 2019",Census Based
195,8,"Census-Based Funding Advisory Group Draft Minutes from January 7, 2019 (Act 173 Advisory Group)",High School
44,8,"Act 173 Advisory Group Agenda - March 1, 2021",High School
166,13,"Act 173 Section D Forms FY 2022 September 3,2020",Regulation
335,5,The Commissioner of the Vermont Department of Mental Health or designee;,Research
11,7,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Elementary
152,7,"Act 173 Advisory Group. DRAFT: Using AOE Tools and Resources to Support Local-level Resources to Act 173 February 7, 2022",Elementary
114,1,"Act 173 Advisory Group Meeting Agenda-June 6, 2022",Funding
355,9,Vermont's tradition of education and the Vermont constitution (Gale Academic Onfile).  Author: Seth M. Zoracki  Date: Spring 2006,Census Based
21,3,The Evidence-Based (EB) model,Legistlative
347,7,Vermont education agency says districts cannot withhold public tuition money to religious schools (FOX news),Elementary
291,3,"State Board of Education List of Topics Provided to Superintendents to Prepare for Section 10 Conversations May 31, 2018",Legistlative
332,6,"State of VT Agency of Education:  Report of the Census-Based Funding Advisory Group - January 15, 2020",Advisory
306,12,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",Funding
179,6,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Advisory
87,5,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Research
270,1,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",Funding
212,11,Considerations for Establishing Categorical Aid Programs to Adjust for Cost Differentials Among Districts & Schools,Public Input
193,6,"Census-Based Funding Advisory Group Draft Minutes from December 3, 2018 (Act 173 Advisory Group)",Advisory
71,10,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Census Based
276,4,"State Board of Education APPENDIX A Voluntary Mergers – July 1, 2015 through June 30, 2018  June 5, 2018",K-12
30,5,Act 173 Advisory Group Act 173 Professional Development Recovery Presentation,Research
119,9,"Act 173 Advisory Group Meeting Agenda: September 12, 2022",Census Based
149,7,"Act 173 Advisory Group-Implementation Adjustment Worksheet. January 3, 2022",Elementary
24,10,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,Census Based
266,10,Special Education Funding Formula Projections,Census Based
158,4,"Census-Based Funding Advisory Group Agenda from January 7, 2019 (Act 173 Advisory Group)",K-12
321,7,"State Board of Education News Vermont State Board of Education Announces Search for Secretary of Education April 16, 2018",Elementary
53,13,"Act 173 Advisory Group AOE Act 173 Update October 4, 2021",Regulation
275,5,"State Board of Education Act 46: State Board of Education's Final Report of Decisions and Order November 30, 2018
",Research
358,13,Lawmaker’s education tax overhaul aims to slow spending,Regulation
344,4,,K-12
151,12,"Act 173 Advisory Group. Agenda. October 4, 2021",Funding
150,4,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",K-12
233,10,History of IDEA,Census Based
58,11,"Act 173 Advisory Group Approved Meeting Minutes - November 4, 2019",Public Input
2,9,Preliminary Education Fund Outlook,Census Based
94,10,"Act 173 Advisory Group Draft Minutes from July 13, 2020",Census Based
97,13,"Act 173 Advisory Group Draft Minutes from March 1, 2021",Regulation
202,3,"Census-Based Funding Advisory Group Report to House and Senate Committees on Education and the State Board of Education August 4, 2022",Legistlative
127,5,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Research
5,2,Education Finance Adequacy,Census Based
86,7,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Elementary
153,11,"Act 173 Advisory Group. AOE Act 173 Update. October 4, 2021",Public Input
228,13,"FY23 Act 173 General Instructions for Section B September 1, 2020",Regulation
117,3,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Legistlative
167,2,"Act 173 Technical Assicatance and Professional Learning Presentation April 1, 2019 (Act 173 Advisory Group)",Census Based
329,9,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",Census Based
139,10,Act 173 Advisory Group Special Meeting Agenda - 03-03-22,Census Based
327,8,"State Board of Education The Secretary's Proposed Plan Under Act 46, Sec. 10 June 1, 2018",High School
35,12,"Act 173 Advisory Group Agenda - December 7, 2020",Funding
23,9,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs,Census Based
79,8,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",High School
293,9,State Board of Education Meetings for 2023 - 2024,Census Based
61,10,"Act 173 Advisory Group Approved Minutes October 4, 2021",Census Based
234,12,IDEA,Funding
323,11,"State Board of Education Secretary's Proposed Plan under Act 46, Sec. 10 June 1, 2018",Public Input
99,12,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Funding
102,14,"Act 173 Advisory Group Draft Minutes from September 16, 2019",Funding
266,14,Special Education Funding Formula Projections,Funding
221,5,,Research
161,5,The Rise And Fall Of Vermont's One-Room Schoolhouses (podcast),Research
344,1,,Funding
235,10,IDEA 101 Subgrantee Programmatic Consideration June 2020 (YouTube),Census Based
341,10,Center On Disability And Community Inclusion,Census Based
223,4,Court Backs Religious-School Student’s Participation in Vermont Dual-Enrollment Program,K-12
358,6,Lawmaker’s education tax overhaul aims to slow spending,Advisory
311,2,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Census Based
84,7,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",Elementary
332,1,"State of VT Agency of Education:  Report of the Census-Based Funding Advisory Group - January 15, 2020",Funding
333,1,SWIFT proposals/experiment (2-1-2016),Funding
206,6,"Census-Based Funding Advisory Group Summary of Agency of Education's Proposed Changes to Act 173  January 7, 2019 (Act 173 Advisory Group)",Advisory
54,3,"Act 173 Advisory Group Approved Meeting Minutes - February 3rd, 2020",Legistlative
132,3,"Act 173 Advisory Group Memo from Simmons to State Board Committee and Act 173 Advisory Group re: Rule 2229.4  February 7, 2022",Legistlative
119,3,"Act 173 Advisory Group Meeting Agenda: September 12, 2022",Legistlative
179,14,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Funding
167,3,"Act 173 Technical Assicatance and Professional Learning Presentation April 1, 2019 (Act 173 Advisory Group)",Legistlative
5,11,Education Finance Adequacy,Public Input
204,5,"Census-Based Funding Advisory Group Rulemaking Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)",Research
302,3,"State Board of Education Memo SBE Memo to Legislative Committee on Administrative Rules (LCAR) - Response to Public Comment - March 15, 2022",Legistlative
346,12,,Funding
181,11,"CBFAG - Rulemaking Sub-Committee October 12,2018 (Act 173 Advisory Group)",Public Input
126,10,"Act 173 Advisory Group Meeting: May 1, 2023.  Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Census Based
313,3,"State Board of Education News Letter to General Assembly from Secretary French and Dr. Kolbe regarding Background and Remaining Points of Disagreement in SBE/AOE Legislative Report. August 4, 2022",Legistlative
357,2,VT Dept of Education (Technical Advice for the Two-Vote Provisions16 V.S.A. § 563(11)(B)),Census Based
248,3,Member of Census-Based Funding Advisory Group::  The Executive Director of the Vermont Council of Special Education Administrators or designee,Legistlative
129,6,"Act 173 Advisory Group Meeting: September 12, 2022  Act 173 Advisory Group VTmtss Survey Report Presentation",Advisory
229,11,"FY23 Act 173 General Instructions for Section D September 1,2020",Public Input
350,8,Vermont House fails to solve constitutional religious school conflict (Podcast),High School
48,6,"Act 173 Advisory Group Agenda - October 5, 2020",Advisory
348,1,"Vermont Estimated IDEA Award Amount for Federal Fiscal Year 2019 (March 14, 2019)",Funding
74,8,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,High School
298,1,"State Board of Education Memo State Board of Education Memo to the House and Senate Education Committees on Civics and Ethnic Studies March 21, 2018",Funding
85,14,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",Funding
10,4,"Public Assets Institute BLOG:  A big opportunity to improve school funding (Jack Hoffman on February 24, 2022)",K-12
201,6,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Advisory
73,6,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,Advisory
130,6,"Act 173 Advisory Group Meeting: September 12, 2022  Responses to public comments on the Draft Technical Manual For Use and Accounting of IDEA Part B Entitlement Grants and Draft Technical Manual for Documenting Maintenance of Effort",Advisory
282,6,"State Board of Education Articles of Agreement: Lamoille South UUSD November 30, 2018 (Act 46)",Advisory
256,10,Vermont To Reimburse Families For Tuition To Private Religious Schools,Census Based
35,8,"Act 173 Advisory Group Agenda - December 7, 2020",High School
356,7,"VT Department of Taxes (The Education Fund and Education Finance Oct. 27, 2020)",Elementary
177,11,"BFP:  Vermont schools study new standards  (Sep 14, 2010 )",Public Input
326,3,"State Board of Education Technical Center Regions and Supervisory Unions Map May 31, 2018",Legistlative
146,9,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Census Based
341,13,Center On Disability And Community Inclusion,Regulation
359,7,Vermont Supreme Court ruling could offer ‘road map’ to statewide school choice,Elementary
263,10,Just Saying No: Vermont Education Secretary Defies Lawmakers,Census Based
265,2,"Special Education Expenditure Report for FY-2022 September 13,2021",Census Based
47,13,"Act 173 Advisory Group Agenda - November 4, 2019",Regulation
282,12,"State Board of Education Articles of Agreement: Lamoille South UUSD November 30, 2018 (Act 46)",Funding
305,1,"State Board of Education Memo State Board of Education Statement on Reform of the Special Education System February 21, 2018",Funding
289,10,"State Board of Education Guidance: Failure of a New Union School District to Adopt a Budget June 12, 2019",Census Based
205,4,"Census-Based Funding Advisory Group Special Education Allowable Costs DRAFT February 4, 2019 (Act 173 Advisory Group)",K-12
274,12,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Funding
203,12,Census-Based Funding Advisory Group Report to the House and Senate Education Committees and State Board of Education - January 2023,Funding
236,2,"Instructions for FY-22 Special Education Expenditure Report September 13,2021",Census Based
247,6,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Advisory
207,6,CHITTENDEN TOWN SCHOOL DISTRICT v. DEPARTMENT OF EDUCATION (1999),Advisory
351,12,Vermont Secretary of State: Preserved documents,Funding
325,14,"State Board of Education Southwest Vermont Union Elementary School District November 30, 2018 (Act 46)",Funding
261,12,Response to Questions Posed by the Task Force on Pupil Weighting,Funding
285,1,"State Board of Education Articles of Agreement: Windham Southeast UUSD November 30, 2018 (Act 46)",Funding
138,12,Act 173 Advisory Group Schedule of Meetings for 2023 Feb 6/2023),Funding
69,5,"Act 173 Advisory Group December Meeting.  December 6, 2021",Research
229,10,"FY23 Act 173 General Instructions for Section D September 1,2020",Census Based
29,6,"Act 173 Advisory Group Act 173 Cost Activity Timeline November 4, 2019",Advisory
309,13,"State Board of Education Memo. Adopted Rule 2200, Independent School Program Approval, Selected Rules Effective May 10, 2022. April 28, 2022",Regulation
91,7,"Act 173 Advisory Group Draft Minutes from December 7, 2020",Elementary
192,8,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",High School
29,8,"Act 173 Advisory Group Act 173 Cost Activity Timeline November 4, 2019",High School
83,4,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",K-12
259,1,"Report of the Census-Based Funding Advisory Group - January 8, 2021",Funding
280,3,"State Board of Education Articles of Agreement: Enosburgh-Richford UUSD November 30, 2018 (Act 46)",Legistlative
146,5,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Research
255,3,Reference request for UVM Report (2-3-2016),Legistlative
104,6,"Act 173 Advisory Group Draft October 5, 2020 VTmtss Framework Tools",Advisory
355,1,Vermont's tradition of education and the Vermont constitution (Gale Academic Onfile).  Author: Seth M. Zoracki  Date: Spring 2006,Funding
353,5,"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017",Research
38,8,"Act 173 Advisory Group Agenda - February 7, 2022",High School
272,1,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018",Funding
305,8,"State Board of Education Memo State Board of Education Statement on Reform of the Special Education System February 21, 2018",High School
241,4,Local Education Agency Plan FY24: Assurances for IDEA Part B (Fillable Form),K-12
93,3,"Act 173 Advisory Group Draft Minutes from January 4, 2021",Legistlative
209,8,City of Winooski:  Supporting Adjusted Student Weights in Vermont’s Education Funding,High School
157,2,"Census-Based Funding Advisory Group Agenda from February 4, 2019 (Act 173 Advisory Group)",Census Based
357,4,VT Dept of Education (Technical Advice for the Two-Vote Provisions16 V.S.A. § 563(11)(B)),K-12
193,14,"Census-Based Funding Advisory Group Draft Minutes from December 3, 2018 (Act 173 Advisory Group)",Funding
25,8,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,High School
311,8,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",High School
165,10,"Act 173 Rulemaking (Oct 12,2018)",Census Based
148,1,"Act 173 Advisory Group-Draft Meeting Minutes February 7, 2022",Funding
70,6,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Advisory
133,13,"Act 173 Advisory Group Revised Version 3 - Rule 1300 - Agency of Education's Proposed State Rules for Special Education Finance and Census Based Funding November 4, 2019",Regulation
33,12,"Act 173 Advisory Group Agenda - April 5, 2021",Funding
71,2,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Census Based
192,13,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",Regulation
319,11,"State Board of Education News State Board of Education Member List July 26, 2022",Public Input
164,10,"Act 173 of 2018 - Overview (Oct 12,2018)",Census Based
115,6,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Advisory
12,2,"Public Assets Institute BLOG:  Brigham Decision: Shared responsibility for funding education (Jack Hoffman on February 11, 2022)",Census Based
254,4,"From the Foundation Plan, to Brigham, to Act 60, to Weightings",K-12
159,10," Act 173 Section B Forms FY 2023 September 3,2020",Census Based
179,6,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Advisory
239,1,Vermont parents sue state over unequal access to education Residency restrictions on historic Town Tuitioning system violate state constitution,Funding
186,10,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Census Based
92,4,"Act 173 Advisory Group Draft Minutes from February 1, 2021",K-12
336,7,The Impact of Census-Based Special Education Funding in Pennsylvania1,Elementary
79,3,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Legistlative
72,5,"Act 173 Advisory Group Draft Meeting Minutes - March 7, 2022",Research
228,12,"FY23 Act 173 General Instructions for Section B September 1, 2020",Funding
36,11,"Act 173 Advisory Group Agenda - February 1, 2021",Public Input
81,5,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",Research
325,14,"State Board of Education Southwest Vermont Union Elementary School District November 30, 2018 (Act 46)",Funding
270,12,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",Funding
56,7,"Act 173 Advisory Group Approved Meeting Minutes - July 13, 2020",Elementary
346,7,,Elementary
267,4,Bill proposes mandatory civics education in Vermont schools,K-12
21,13,The Evidence-Based (EB) model,Regulation
319,6,"State Board of Education News State Board of Education Member List July 26, 2022",Advisory
107,13,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",Regulation
17,8,"Public Assets Institute BLOG:  The Ed Fund needs an outside opinion (Jack Hoffman on March 17, 2022)",High School
206,12,"Census-Based Funding Advisory Group Summary of Agency of Education's Proposed Changes to Act 173  January 7, 2019 (Act 173 Advisory Group)",Funding
73,4,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,K-12
187,6,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)",Advisory
186,12,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Funding
353,4,"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017",K-12
283,2,"State Board of Education Articles of Agreement: Washington Central UUSD November 30, 2018 (Act 46)",Census Based
213,6,"Date: Dec. 12, 1998  From: The Economist(Vol. 349, Issue 8098)",Advisory
253,1,Opinion Piece in VT Digger Allen Gilbert (Feb 5 2017),Funding
185,8,"Census-Based Funding Advisory Group Agency of Education Update to the Census Based Funding Advisory Group from January 7, 2019 (Act 173 Advisory Group)",High School
257,10,"Report of the Census-Based Funding Advisory Group - January 15, 2019",Census Based
61,5,"Act 173 Advisory Group Approved Minutes October 4, 2021",Research
150,12,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Funding
79,11,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Public Input
187,9,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)",Census Based
12,3,"Public Assets Institute BLOG:  Brigham Decision: Shared responsibility for funding education (Jack Hoffman on February 11, 2022)",Legistlative
44,1,"Act 173 Advisory Group Agenda - March 1, 2021",Funding
318,10,"State Board of Education News  State Board of Education Member List July 27, 2022",Census Based
274,9,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Census Based
78,3,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Legistlative
48,4,"Act 173 Advisory Group Agenda - October 5, 2020",K-12
289,8,"State Board of Education Guidance: Failure of a New Union School District to Adopt a Budget June 12, 2019",High School
55,3,"Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020",Legistlative
320,11,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Public Input
178,4,Biennial Report - Vermont State Board of Education,K-12
62,11,"Act 173 Advisory Group Approved Minutes October 7, 2019",Public Input
320,10,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Census Based